LLA:time = ,435404.99900, pos = ,116.33889,39.97954,44.91824
xyz:time = ,435405.99900, pos = ,-2171456.07949,4386112.08810,4076273.12269
LLA:time = ,435405.99900, pos = ,116.33888,39.97954,43.46557
xyz:time = ,435406.99900, pos = ,-2171456.66866,4386112.79360,4076273.84534
LLA:time = ,435406.99900, pos = ,116.33888,39.97954,44.61467
xyz:time = ,435407.99900, pos = ,-2171457.91979,4386113.73378,4076275.28307
LLA:time = ,435407.99900, pos = ,116.33889,39.97954,46.60943
xyz:time = ,435408.99900, pos = ,-2171456.92707,4386112.76786,4076273.76569
LLA:time = ,435408.99900, pos = ,116.33888,39.97954,44.63367
xyz:time = ,435409.99900, pos = ,-2171458.50942,4386113.89848,4076276.21113
LLA:time = ,435409.99900, pos = ,116.33889,39.97955,47.51929
xyz:time = ,435410.99900, pos = ,-2171457.47382,4386113.20580,4076275.29127
LLA:time = ,435410.99900, pos = ,116.33889,39.97955,46.10050
xyz:time = ,435411.99900, pos = ,-2171457.96669,4386114.10674,4076276.93773
LLA:time = ,435411.99900, pos = ,116.33889,39.97955,47.94464
xyz:time = ,435412.99900, pos = ,-2171457.34538,4386113.49294,4076275.33534
LLA:time = ,435412.99900, pos = ,116.33888,39.97955,46.28233
xyz:time = ,435413.99900, pos = ,-2171458.13359,4386113.94118,4076275.37053
LLA:time = ,435413.99900, pos = ,116.33889,39.97954,46.88074
xyz:time = ,435414.99900, pos = ,-2171459.39378,4386115.18838,4076277.15511
LLA:time = ,435414.99900, pos = ,116.33890,39.97955,49.31228
xyz:time = ,435415.99900, pos = ,-2171457.90064,4386114.57880,4076276.14062
LLA:time = ,435415.99900, pos = ,116.33888,39.97955,47.73420
xyz:time = ,435416.99900, pos = ,-2171456.20549,4386113.94327,4076274.37345
LLA:time = ,435416.99900, pos = ,116.33887,39.97954,45.58602
xyz:time = ,435417.99900, pos = ,-2171453.88126,4386112.86830,4076272.70181
LLA:time = ,435417.99900, pos = ,116.33885,39.97954,42.98357
xyz:time = ,435418.99900, pos = ,-2171453.86272,4386113.18411,4076273.16965
LLA:time = ,435418.99900, pos = ,116.33885,39.97954,43.49473
xyz:time = ,435419.99900, pos = ,-2171452.83549,4386112.60583,4076271.93814
LLA:time = ,435419.99900, pos = ,116.33884,39.97954,41.95711
xyz:time = ,435420.99900, pos = ,-2171452.54694,4386112.71425,4076272.63740
LLA:time = ,435420.99900, pos = ,116.33884,39.97954,42.38275
xyz:time = ,435421.99900, pos = ,-2171452.41900,4386112.41576,4076272.27516
LLA:time = ,435421.99900, pos = ,116.33884,39.97954,41.90153
xyz:time = ,435422.99900, pos = ,-2171452.98174,4386112.14542,4076273.12123
LLA:time = ,435422.99900, pos = ,116.33885,39.97955,42.45081
xyz:time = ,435423.99900, pos = ,-2171453.85709,4386112.86339,4076274.72757
LLA:time = ,435423.99900, pos = ,116.33885,39.97955,44.27356
xyz:time = ,435424.99900, pos = ,-2171451.61568,4386111.15026,4076271.93185
LLA:time = ,435424.99900, pos = ,116.33884,39.97955,40.53879
xyz:time = ,435425.99900, pos = ,-2171453.66584,4386112.41099,4076273.32421
LLA:time = ,435425.99900, pos = ,116.33885,39.97955,42.99619
xyz:time = ,435426.99900, pos = ,-2171454.18687,4386112.24474,4076273.24106
LLA:time = ,435426.99900, pos = ,116.33886,39.97955,43.00574
xyz:time = ,435427.99900, pos = ,-2171453.77108,4386111.95269,4076273.02659
LLA:time = ,435427.99900, pos = ,116.33886,39.97955,42.52602
xyz:time = ,435428.99900, pos = ,-2171454.25520,4386111.96272,4076273.80249
LLA:time = ,435428.99900, pos = ,116.33886,39.97955,43.19602
xyz:time = ,435429.99900, pos = ,-2171454.60476,4386112.11420,4076273.54166
LLA:time = ,435429.99900, pos = ,116.33886,39.97955,43.25131
xyz:time = ,435430.99900, pos = ,-2171455.17455,4386112.45990,4076273.96558
LLA:time = ,435430.99900, pos = ,116.33887,39.97955,43.95479
xyz:time = ,435431.99900, pos = ,-2171455.58526,4386112.88268,4076274.29602
LLA:time = ,435431.99900, pos = ,116.33887,39.97955,44.59707
xyz:time = ,435432.99900, pos = ,-2171454.28891,4386112.32072,4076273.44965
LLA:time = ,435432.99900, pos = ,116.33886,39.97955,43.22663
xyz:time = ,435433.99900, pos = ,-2171454.56051,4386112.06909,4076273.55639
LLA:time = ,435433.99900, pos = ,116.33886,39.97955,43.21474
xyz:time = ,435434.99900, pos = ,-2171454.78378,4386111.87961,4076273.43174
LLA:time = ,435434.99900, pos = ,116.33887,39.97955,43.08044
xyz:time = ,435435.99900, pos = ,-2171456.24569,4386112.97176,4076274.47925
LLA:time = ,435435.99900, pos = ,116.33888,39.97955,45.00050
xyz:time = ,435436.99900, pos = ,-2171455.80845,4386112.35953,4076274.20127
LLA:time = ,435436.99900, pos = ,116.33887,39.97955,44.25281
xyz:time = ,435437.99900, pos = ,-2171454.95298,4386112.01240,4076273.77940
LLA:time = ,435437.99900, pos = ,116.33887,39.97955,43.45253
xyz:time = ,435438.99900, pos = ,-2171455.70993,4386112.51054,4076274.76632
LLA:time = ,435438.99900, pos = ,116.33887,39.97955,44.68608
xyz:time = ,435439.99900, pos = ,-2171455.07733,4386112.26155,4076274.45537
LLA:time = ,435439.99900, pos = ,116.33887,39.97955,44.10023
xyz:time = ,435440.99900, pos = ,-2171456.03652,4386112.81608,4076274.28793
LLA:time = ,435440.99900, pos = ,116.33887,39.97955,44.69955
xyz:time = ,435441.99900, pos = ,-2171457.96443,4386113.84393,4076276.10298
LLA:time = ,435441.99900, pos = ,116.33889,39.97955,47.22705
xyz:time = ,435442.99900, pos = ,-2171457.89962,4386113.92957,4076276.44496
LLA:time = ,435442.99900, pos = ,116.33889,39.97955,47.48355
xyz:time = ,435443.99900, pos = ,-2171457.10247,4386113.44616,4076275.85004
LLA:time = ,435443.99900, pos = ,116.33888,39.97955,46.49833
xyz:time = ,435444.99900, pos = ,-2171457.68334,4386113.89229,4076276.53444
LLA:time = ,435444.99900, pos = ,116.33889,39.97955,47.44192
xyz:time = ,435445.99900, pos = ,-2171457.84584,4386114.10870,4076276.74186
LLA:time = ,435445.99900, pos = ,116.33889,39.97955,47.77905
xyz:time = ,435446.99900, pos = ,-2171459.80194,4386115.48624,4076278.23154
LLA:time = ,435446.99900, pos = ,116.33890,39.97955,50.34721
xyz:time = ,435447.99900, pos = ,-2171459.13299,4386115.29521,4076278.99673
LLA:time = ,435447.99900, pos = ,116.33889,39.97956,50.48024
xyz:time = ,435448.99900, pos = ,-2171458.74247,4386114.82751,4076277.88610
LLA:time = ,435448.99900, pos = ,116.33889,39.97955,49.31270
xyz:time = ,435449.99900, pos = ,-2171459.38073,4386114.76584,4076277.95791
LLA:time = ,435449.99900, pos = ,116.33890,39.97955,49.53348
xyz:time = ,435450.99900, pos = ,-2171459.71186,4386114.92483,4076277.89533
LLA:time = ,435450.99900, pos = ,116.33890,39.97955,49.71503
xyz:time = ,435451.99900, pos = ,-2171459.02893,4386114.57491,4076277.52552
LLA:time = ,435451.99900, pos = ,116.33890,39.97955,49.00495
xyz:time = ,435452.99900, pos = ,-2171460.52622,4386115.63596,4076280.46768
LLA:time = ,435452.99900, pos = ,116.33891,39.97956,52.13302
xyz:time = ,435453.99900, pos = ,-2171461.23573,4386115.80234,4076280.41712
LLA:time = ,435453.99900, pos = ,116.33891,39.97956,52.45601
xyz:time = ,435454.99900, pos = ,-2171459.29529,4386114.46982,4076278.09124
LLA:time = ,435454.99900, pos = ,116.33890,39.97956,49.38682
xyz:time = ,435455.99900, pos = ,-2171459.85902,4386114.84519,4076278.30916
LLA:time = ,435455.99900, pos = ,116.33890,39.97955,49.97627
xyz:time = ,435456.99900, pos = ,-2171458.68429,4386114.17964,4076276.96680
LLA:time = ,435456.99900, pos = ,116.33890,39.97955,48.25735
xyz:time = ,435457.99900, pos = ,-2171459.42970,4386114.24379,4076277.35035
LLA:time = ,435457.99900, pos = ,116.33890,39.97955,48.80126
xyz:time = ,435458.99900, pos = ,-2171460.15027,4386114.36933,4076277.21477
LLA:time = ,435458.99900, pos = ,116.33891,39.97955,49.04534
xyz:time = ,435459.99900, pos = ,-2171460.35470,4386114.44875,4076277.53010
